Base Map,Sketch Maps,Generalization,Completeness_Streets(%),Completeness_Buildings(%),QualitativeAccuracy_Recall,QualitativeAccuracy_Precision,Generalization_OmissionMerge,Generalization_OmissionMerge(many-many),Generalization_Street_AbstractionToShowExistence,Generalization_JuctionMerge,Generalization_RoundaboutCollapse,Generalization_Amalgamation,Generalization_Collapse,Generalization_Building_AbstractionToShowExistence,QualitativeAccuracy_BuildingTopology(RCC8),QualitativeAccuracy_StreetBuildingTopology(DE9IM),QualitativeAccuracy_StreetsOrientation(OPRA),QualitativeAccuracy_StreetsConnectedness,QualitativeAccuracy_BuildingRoute_LeftRight,QualitativeAccuracy_BuildingRoute_LinearOrdering
_location3.png,AS_Sketch_1.jpg,3,28.57,24.00,0.88,0.88,3,0,0,0,0,0,0,0,100,0,38.1,100,100,83.33
_location3.png,AS_Sketch_2.jpg,5,30.77,36.36,0.81,0.81,4,0,0,0,0,1,0,0,96.43,0,41.67,100,66.67,57.14
_location3.png,AS_Sketch_3.jpg,6,46.51,47.37,0.85,0.88,3,0,0,0,0,1,0,2,100,0,25,100,75,33.33
_location3.png,AS_Sketch_4.jpg,4,50.00,52.38,0.86,0.92,2,0,0,0,0,1,0,1,97.78,0,42.22,100,100,100
_location3.png,AS_Sketch_7.jpg,1,18.18,16.00,0.71,0.83,1,0,0,0,0,0,0,0,100,0,33.33,100,100,0
_location3.png,AS_Sketch_5.jpg,2,25.00,16.00,0.76,0.9,2,0,0,0,0,0,0,0,100,0,55.56,100,100,100
_location3.png,AS_Sketch_6.jpg,5,57.50,40.00,0.9,0.89,4,0,0,0,0,0,0,1,100,0,35.42,98.81,75,66.67
_location3.png,CM_Sketch_3.jpg,5,46.51,50.00,0.87,0.89,2,0,0,0,0,1,0,2,100,0,38.89,100,75,33.33
_location3.png,AS_Sketch_9.jpg,5,43.90,34.78,0.85,0.86,4,0,0,0,0,0,0,1,71.43,0,33.33,100,100,66.67
_location3.png,CM_Sketch_2.jpg,6,30.77,47.06,0.79,0.72,4,0,0,0,0,2,0,0,96.43,0,25,100,38.46,28.57
_location3.png,CM_Sketch_7.jpg,1,18.18,16.00,0.67,0.79,1,0,0,0,0,0,0,0,100,0,16.67,100,100,0
_location3.png,CM_Sketch_6.jpg,5,57.50,42.11,0.91,0.9,4,0,0,0,0,0,0,1,100,0,41.67,98.81,75,66.67
_location3.png,JK_Sketch_1.jpg,4,30.77,24.00,0.88,0.78,4,0,0,0,0,0,0,0,100,0,33.33,83.33,100,100
_location3.png,CM_Sketch_8.jpg,3,54.76,64.00,0.88,0.92,3,0,0,0,0,0,0,0,100,0,26.09,100,100,100
_location3.png,CM_Sketch_4.jpg,4,50.00,52.38,0.85,0.91,2,0,0,0,0,1,0,1,100,0,35.56,100,100,100
_location3.png,AS_Sketch_8.jpg,3,53.49,66.67,0.9,0.92,2,0,0,0,0,1,0,0,100,0,39.13,99.21,80,50
_location3.png,CM_Sketch_9.jpg,8,46.15,40.00,0.88,0.91,6,0,0,0,0,0,0,2,100,0,47.22,100,100,100
_location3.png,CM_Sketch_1.jpg,2,27.91,24.00,0.84,0.84,2,0,0,0,0,0,0,0,100,0,19.05,100,100,83.33
_location3.png,AS_Sketch_10.jpg,7,25.00,27.78,0.03,0.09,3,0,0,0,0,1,2,1,0,0,0,15.56,0,0
_location3.png,CM_Sketch_5.jpg,2,27.50,16.00,0.9,0.91,2,0,0,0,0,0,0,0,100,0,61.9,100,100,100
_location3.png,CM_Sketch_10.jpg,10,47.37,41.18,0.81,0.87,5,0,0,1,0,1,2,1,100,0,38.89,98.69,80,33.33
_location3.png,JK_Sketch_2.jpg,8,33.33,38.10,0.77,0.77,6,0,0,0,0,2,0,0,96.43,0,16.67,100,69.23,52.38
_location3.png,JK_Sketch_4.jpg,8,55.00,55.00,0.87,0.91,5,0,0,0,0,2,0,1,97.78,0,35.56,100,100,83.33
_location3.png,JK_Sketch_3.jpg,8,51.28,56.25,0.88,0.9,5,0,0,0,0,1,0,2,100,0,44.44,100,60,33.33
_location3.png,JK_Sketch_5.jpg,4,28.95,16.00,0.88,0.89,4,0,0,0,0,0,0,0,100,0,52.38,100,100,100
_location3.png,JK_Sketch_6.jpg,8,62.16,36.84,0.9,0.89,7,0,0,0,0,0,0,1,100,0,37.5,98.81,50,0
_location3.png,JK_Sketch_7.jpg,2,19.05,16.00,0.65,0.77,2,0,0,0,0,0,0,0,100,0,8.33,100,100,0
_location3.png,JK_Sketch_9.jpg,8,46.15,33.33,0.84,0.85,5,0,0,1,0,0,0,2,100,0,27.78,97.39,100,0
_location3.png,JK_Sketch_8.jpg,6,58.97,66.67,0.9,0.92,5,0,0,0,0,1,0,0,100,0,36.96,100,80,50
_location3.png,JK_Sketch_10.jpg,11,44.74,38.89,0.81,0.87,5,0,0,2,0,1,2,1,100,0,41.18,96.32,100,83.33